domain,variant,utility,accuracy,roc_auc,spd,tpr_gap,harm_rate,escalation_rate,oversight_gain
hiring,baseline,-0.02288093255620315,0.5470441298917569,0.6865171838179582,-0.6204004412014147,-0.695471945628382,0.13918142107279877,,
hiring,ethical_no_oversight,0.3840133222314738,0.7705245628642798,0.7771985789509136,-0.01779194501425574,-0.015454424036929981,0.21331930171779007,,
hiring,ethical_with_oversight,0.3842298084929226,0.7710241465445462,0.7771985789509136,-0.012954942672079662,-0.010178939083359251,0.21119038703668996,0.008492922564529558,0.00021648626144878946
hiring,label_correction_only,0.37993338884263117,0.7703580349708576,0.7769541616434849,-0.01988122710435989,-0.016323215424811653,0.2012151564713828,,
hiring,no_sensitive_proxy,-0.012539550374687744,0.5558701082431308,0.7718353421017131,-0.04204569763346512,-0.049684778514203456,0.08819953928213134,,
loan,baseline,-0.12805995004163198,0.7355537052456287,0.7314909566456602,-0.07961820156456667,-0.1998207774305265,0.2525025025025025,,
loan,ethical_no_oversight,-0.1228143213988343,0.7352206494587843,0.7986700399980353,-0.0014405183688113465,0.0005848388727510937,0.17789504237780102,,
loan,ethical_with_oversight,-0.12756036636136553,0.7353871773522065,0.7986700399980353,-0.0027819722038500702,-0.005106488266670882,0.24403736659496666,0.007826810990840965,-0.0047460449625312175
loan,label_correction_only,-0.16727726894254788,0.7660283097418817,0.7983197268840811,-0.04454294719757962,-0.05537110490108221,0.3626927200563136,,
loan,no_sensitive_proxy,-0.12331390507910074,0.7332223147377186,0.790323983327269,-0.020357121855659778,-0.05205911669946546,0.17351648351648352,,
medical_triage,baseline,-0.8956702747710242,0.615820149875104,0.7583775070847658,-0.42821705977771407,-0.5085138244706122,0.48894764390291623,,
medical_triage,ethical_no_oversight,1.0776852622814321,0.7323896752706078,0.8268451586750325,0.01004384531378275,0.002000165659772257,0.01828954438124853,,
medical_triage,ethical_with_oversight,1.0545378850957534,0.7308909242298085,0.8268451586750325,0.012957285580553868,0.007922690816612742,0.023744808151479817,0.008159866777685262,-0.02314737718567863
medical_triage,label_correction_only,0.7782681099084097,0.7750208159866777,0.8263685302487517,0.007846236986980282,0.012404268504071525,0.1223414476624122,,
medical_triage,no_sensitive_proxy,-0.8058284762697753,0.643796835970025,0.8238512562734123,-0.011527494554730155,-0.01445228290356394,0.4797501969914514,,
