domain,seed,variant,threshold,threshold_group0,threshold_group1,groupwise_thresholding_used,fairness_threshold_fallback,escalation_rate,override_rate,corrected_error_rate,oversight_gain,residual_tpr_gap,residual_spd,accuracy,balanced_accuracy,precision,recall,roc_auc,approval_rate_g0,approval_rate_g1,spd,disparate_impact,tpr_gap,fpr_gap,fnr_gap,aod,harm_metric,harm_rate,utility
loan,11,baseline,0.5,0.5,0.5,False,False,,,,,,,0.7377185678601166,0.5488214278381208,0.7222222222222222,0.11504424778761062,0.7511481154480559,0.09168081494057725,0.0,-0.09168081494057725,0.0,-0.23214285714285715,-0.035629453681710214,0.2321428571428571,-0.13388615541228369,default_rate_among_approved,0.2777777777777778,-0.1298917568692756
loan,11,no_sensitive_proxy,0.5,0.5,0.5,False,False,,,,,,,0.7385512073272273,0.543137315292008,0.8205128205128205,0.0943952802359882,0.8189741905016118,0.04753820033955857,0.017973856209150325,-0.029564344130408246,0.37809290382819793,-0.07247284878863827,-0.011984207776538962,0.07247284878863824,-0.04222852828258862,default_rate_among_approved,0.1794871794871795,-0.1186511240632806
loan,11,label_correction_only,0.5,0.5,0.5,False,False,,,,,,,0.7768526228143214,0.6691511132100008,0.6651162790697674,0.4218289085545723,0.8235837628072192,0.20882852292020374,0.1503267973856209,-0.05850172553458283,0.71985759073277,-0.10776942355889724,-0.036378130032693995,0.10776942355889718,-0.07207377679579562,default_rate_among_approved,0.33488372093023255,-0.14238134887593673
loan,11,ethical_no_oversight,0.79,0.79,0.79,False,False,,,,,,,0.7335553705245629,0.5316031182199591,0.8518518518518519,0.06784660766961652,0.824757544025351,0.030560271646859084,0.014705882352941176,-0.015854389293917907,0.4812091503267974,-0.03070175438596491,-0.009501187648456057,0.030701754385964897,-0.020101471017210486,default_rate_among_approved,0.14814814814814814,-0.12239800166527894
loan,11,ethical_with_oversight,0.79,0.79,0.79,False,False,0.009991673605328892,0.9166666666666666,0.8333333333333334,-0.008742714404662774,-0.06046365914786968,-0.024534771463763774,0.7327227310574521,0.5354974710661219,0.7368421052631579,0.08259587020648967,0.824757544025351,0.044142614601018676,0.0196078431372549,-0.024534771463763774,0.44419306184012064,-0.06046365914786968,-0.009824357296362725,0.060463659147869664,-0.035144008222116205,default_rate_among_approved,0.2631578947368421,-0.1311407160699417
hiring,11,baseline,0.5,0.5,0.5,False,False,,,,,,,0.537052456286428,0.6099829333483783,0.8411016949152542,0.4521640091116173,0.660683935485236,0.6916932907348243,0.06782608695652174,-0.6238672037783026,0.09805803795561803,-0.7135514018691589,-0.40116728509585653,0.7135514018691589,-0.5573593434825077,bad_hire_rate_among_selected,0.15889830508474576,-0.04346378018318067
hiring,11,no_sensitive_proxy,0.5,0.5,0.5,False,False,,,,,,,0.5578684429641965,0.6614032736940838,0.9121140142517815,0.43735763097949887,0.7684118845955838,0.3769968051118211,0.3217391304347826,-0.055257674677038515,0.8534266764922622,-0.07835929387331259,-0.022959183673469385,0.07835929387331253,-0.050659238773390985,bad_hire_rate_among_selected,0.08788598574821853,-0.014404662781015782
hiring,11,label_correction_only,0.5,0.5,0.5,False,False,,,,,,,0.7660283097418817,0.6403608680014387,0.7970149253731343,0.9123006833712984,0.7712257664125475,0.8482428115015974,0.8243478260869566,-0.023894985414640857,0.9718300171947926,-0.02035306334371756,-0.06045145330859614,0.020353063343717545,-0.04040225832615685,bad_hire_rate_among_selected,0.20298507462686566,0.3672772689425479
hiring,11,ethical_no_oversight,0.49500000000000005,0.49500000000000005,0.49500000000000005,False,False,,,,,,,0.7701915070774354,0.6432082484114614,0.7980198019801981,0.9179954441913439,0.7718146364168493,0.8514376996805112,0.8295652173913044,-0.021872482289206796,0.9743111183620198,-0.02234683281412253,-0.047966914038342634,0.02234683281412253,-0.03515687342623258,bad_hire_rate_among_selected,0.201980198019802,0.3743547044129892
hiring,11,ethical_with_oversight,0.49500000000000005,0.49500000000000005,0.49500000000000005,False,False,0.00832639467110741,0.9,0.8,-0.0020815986677768517,-0.015794392523364564,-0.014168634532573998,0.7693588676103247,0.646552818465835,0.8001998001998002,0.9123006833712984,0.7718146364168493,0.8402555910543131,0.8260869565217391,-0.014168634532573998,0.9831377087121838,-0.015794392523364564,-0.03772418058132343,0.01579439252336448,-0.026759286552343997,bad_hire_rate_among_selected,0.1998001998001998,0.37227310574521233
medical_triage,11,baseline,0.5,0.5,0.5,False,False,,,,,,,0.6153205661948377,0.6751944914988393,0.8720173535791758,0.4993788819875776,0.7707572620616099,0.5983471074380166,0.16610738255033558,-0.432239724887681,0.27761040453854424,-0.5280010370754473,-0.2358748054995791,0.5280010370754472,-0.3819379212875132,missed_urgent_rate,0.5006211180124224,-0.9392173189009159
medical_triage,11,no_sensitive_proxy,0.5,0.5,0.5,False,False,,,,,,,0.6336386344712739,0.7004062362758015,0.9082774049217002,0.5043478260869565,0.8269715791454922,0.38016528925619836,0.3640939597315436,-0.01607132952465473,0.9577254158155821,-0.02104398928355372,-0.004004795551360865,0.021043989283553666,-0.012524392417457293,missed_urgent_rate,0.4956521739130435,-0.884263114071607
medical_triage,11,label_correction_only,0.5,0.5,0.5,False,False,,,,,,,0.7801831806827644,0.7321005081874647,0.8127167630057803,0.8732919254658386,0.8312566660392747,0.6991735537190082,0.7416107382550335,0.042437184536025296,1.0606962095609818,0.03258145363408527,0.06473994337168071,-0.03258145363408521,0.04866069850288299,missed_urgent_rate,0.1267080745341615,0.7689425478767694
medical_triage,11,ethical_no_oversight,0.26,0.26,0.26,False,False,,,,,,,0.7477102414654455,0.6276883744275049,0.733271375464684,0.9801242236024845,0.8314762532153837,0.8859504132231405,0.9060402684563759,0.020089855233235365,1.0226760492837825,-0.00034569181574628516,0.06287784098155758,0.00034569181574626087,0.031266074582905645,missed_urgent_rate,0.01987577639751553,1.097835137385512
medical_triage,11,ethical_with_oversight,0.26,0.26,0.26,False,False,0.005828476269775187,0.7142857142857143,0.5,-0.015403830141548669,0.007043470745830116,0.021692828221199112,0.7468776019983348,0.6283502729154903,0.7338935574229691,0.9763975155279503,0.8314762532153837,0.8809917355371901,0.9026845637583892,0.021692828221199112,1.0246231915081152,0.007043470745830116,0.052725556717598154,-0.007043470745830095,0.029884513731714135,missed_urgent_rate,0.02360248447204969,1.0824313072439633
loan,22,baseline,0.5,0.5,0.5,False,False,,,,,,,0.7268942547876769,0.5337541831457255,0.75,0.07803468208092486,0.7223337727749045,0.06196213425129088,0.0,-0.06196213425129088,0.0,-0.15,-0.022443890274314215,0.15000000000000002,-0.0862219451371571,default_rate_among_approved,0.25,-0.1328059950041632
loan,22,no_sensitive_proxy,0.5,0.5,0.5,False,False,,,,,,,0.723563696919234,0.5262532535577866,0.75,0.06069364161849711,0.7816752864821013,0.029259896729776247,0.017741935483870968,-0.011517961245905279,0.6063567362428843,-0.0356091030789826,0.0013292759291199325,0.035609103078982574,-0.017139913574931335,default_rate_among_approved,0.25,-0.1353039134054954
loan,22,label_correction_only,0.5,0.5,0.5,False,False,,,,,,,0.768526228143214,0.6541848358854747,0.6717171717171717,0.38439306358381503,0.7957306561200691,0.16006884681583478,0.1693548387096774,0.009285991893842632,1.0580124869927159,0.002208835341365456,0.030457995979214954,-0.0022088353413655115,0.016333415660290205,default_rate_among_approved,0.3282828282828283,-0.14029975020815988
loan,22,ethical_no_oversight,0.8,0.7050000000000001,0.6350000000000001,True,False,,,,,,,0.7352206494587843,0.5568079640333975,0.7121212121212122,0.13583815028901733,0.7960382652198897,0.039586919104991396,0.06935483870967742,0.02976791960468602,1.7519635343618511,0.06311914323962516,0.02306458523295286,-0.0631191432396252,0.04309186423628901,default_rate_among_approved,0.2878787878787879,-0.1328059950041632
loan,22,ethical_with_oversight,0.8,0.7050000000000001,0.6350000000000001,True,False,0.005828476269775187,1.0,1.0,-0.0024979184013322053,0.06405622489959839,0.03105602132030426,0.736053288925895,0.5608339248892945,0.6986301369863014,0.14739884393063585,0.7960382652198897,0.04475043029259897,0.07580645161290323,0.03105602132030426,1.6939826302729528,0.06405622489959839,0.02497610599053028,-0.06405622489959839,0.044516165445064336,default_rate_among_approved,0.3013698630136986,-0.1353039134054954
hiring,22,baseline,0.5,0.5,0.5,False,False,,,,,,,0.5420482930890924,0.6250227721545738,0.8659574468085106,0.4552572706935123,0.6852560318883034,0.6943972835314092,0.09967320261437909,-0.5947240809170301,0.14353915975518164,-0.656799343290754,-0.40246598639455783,0.656799343290754,-0.5296326648426559,bad_hire_rate_among_selected,0.13404255319148936,-0.023646960865945026
hiring,22,no_sensitive_proxy,0.5,0.5,0.5,False,False,,,,,,,0.5503746877601998,0.6530726012723258,0.9041095890410958,0.4429530201342282,0.76248824956824,0.38030560271646857,0.34967320261437906,-0.030632400102089508,0.919453197945845,-0.032284867657069616,-0.011607142857142844,0.032284867657069616,-0.02194600525710623,bad_hire_rate_among_selected,0.0958904109589041,-0.012989175686927533
